Facility ID,Name,Type,Street Address,City,County,State,Zip Code,Facility Phone Number,Latitude,Longitude,Facility Location
66,Olean General Hospital,Hospital,515 Main Street,Olean,Cattaraugus,New York,14760,7163756171,42.089844,-78.42688,"(42.089844, -78.42688)"
9691,South Nassau Communities Hospital Off-Campus Emergency Department,Hospital,325 East Bay Drive,Long Beach,Nassau,New York,11561,5168701010,40.594237,-73.654958,"(40.594237, -73.654958)"
541,North Shore University Hospital,Hospital,300 Community Drive,Manhasset,Nassau,New York,11030,5165628730,40.77924,-73.702888,"(40.77924, -73.702888)"
10216,Cobleskill Regional Hospital,Hospital,178 Grandview Drive,Cobleskill,Schoharie,New York,12043,,42.68683,-74.481976,"(42.68683, -74.481976)"
815,Canton-Potsdam Hospital,Hospital,50 Leroy Street,Potsdam,Saint Lawrence,New York,13676,3152653300,44.676151,-74.981529,"(44.676151, -74.981529)"
58,United Health Services Hospitals Inc. - Wilson Medical Center,Hospital,33-57 Harrison Street,Johnson City,Broome,New York,13790,6077636000,42.115063,-75.959122,"(42.115063, -75.959122)"
37,Cuba Memorial Hospital Inc,Hospital,140 West Main Street,Cuba,Allegany,New York,14727,5859682000,42.213474,-78.287506,"(42.213474, -78.287506)"
490,Glen Cove Hospital,Hospital,101 St Andrews Lane,Glen Cove,Nassau,New York,11542,5166747588,40.871731,-73.62159,"(40.871731, -73.62159)"
362,Little Falls Hospital,Hospital,140 Burwell Street,Little Falls,Herkimer,New York,13365,3158231000,43.043964,-74.847458,"(43.043964, -74.847458)"
938,Peconic Bay Medical Center,Hospital,1 Heroes Way,Riverhead,Suffolk,New York,11901,6315486000,40.9348,-72.6753,"(40.9348, -72.6753)"
1164,BronxCare Hospital Center,Hospital,1276 Fulton Avenue,Bronx,Bronx,New York,10456,7189018800,40.831772,-73.903656,"(40.831772, -73.903656)"
1456,Mount Sinai Hospital,Hospital,One Gustave L Levy Place,New York,New York,New York,10029,2122417005,40.790482,-73.953766,"(40.790482, -73.953766)"
1635,St Johns Episcopal Hospital So Shore,Hospital,327 Beach 19th Street,Far Rockaway,Queens,New York,11691,7188687320,40.598637,-73.752769,"(40.598637, -73.752769)"
216,Roswell Park Cancer Institute,Hospital,Elm and Carlton Streets,Buffalo,Erie,New York,14263,7168452300,42.898525,-78.865013,"(42.898525, -78.865013)"
671,Geneva General Hospital,Hospital,196-198 North Street,Geneva,Ontario,New York,14456,3157874000,42.875748,-76.987427,"(42.875748, -76.987427)"
309,The University of Vermont Health Network - Elizabethtown Community Hospital Moses Ludington,Hospital,"101 Adirondack Drive, Suite 1",Ticonderoga,Essex,New York,12883,5185852831,43.849476,-73.435593,"(43.849476, -73.435593)"
15417,St. Peter's Hospital - SPARC,Hospital,1300 Massachusetts Avenue,Troy,Rensselaer,New York,12180,5182685941,42.742836,-73.676444,"(42.742836, -73.676444)"
379,Carthage Area Hospital Inc,Hospital,1001 West Street,Carthage,Jefferson,New York,13619,3154931000,43.986073,-75.595421,"(43.986073, -75.595421)"
3067,Millard Fillmore Suburban Hospital,Hospital,1540 Maple Road,Amherst,Erie,New York,14221,7165683600,42.991219,-78.72982,"(42.991219, -78.72982)"
776,Montefiore Nyack,Hospital,160 North Midland Avenue,Nyack,Rockland,New York,10960,8453482000,41.096249,-73.924957,"(41.096249, -73.924957)"
599,Faxton-St Lukes Healthcare St Lukes Division,Hospital,1656 Champlin  Avenue,Utica,Oneida,New York,13502,3156246001,43.098179,-75.275383,"(43.098179, -75.275383)"
10355,David H. Koch Center For Cancer Care,Hospital,530 East 74th Street,New York,New York,New York,10021,,40.767588,-73.951584,"(40.767588, -73.951584)"
42,United Health Services Hospitals Inc. - Binghamton General Hospital,Hospital,10-42 Mitchell Avenue,Binghamton,Broome,New York,13903,6077622200,42.088062,-75.91423,"(42.088062, -75.91423)"
885,Long Island Community Hospital,Hospital,101 Hospital Road,Patchogue,Suffolk,New York,11772,6316547100,40.778915,-72.978035,"(40.778915, -72.978035)"
1464,New York-Presbyterian Hospital - Columbia Presbyterian Center,Hospital,622 West 168th Street,New York,New York,New York,10032,2123052500,40.841415,-73.940704,"(40.841415, -73.940704)"
831,Sunnyview Hospital and Rehabilitation Center,Hospital,1270 Belmont Avenue,Schenectady,Schenectady,New York,12308,5183824500,42.82206,-73.913651,"(42.82206, -73.913651)"
704,St Anthony Community Hospital,Hospital,15 Maple Avenue,Warwick,Orange,New York,10990,8459862276,41.260586,-74.357185,"(41.260586, -74.357185)"
1172,Lincoln Medical & Mental Health Center,Hospital,234 East 149th Street,Bronx,Bronx,New York,10451,7185795700,40.817661,-73.92421,"(40.817661, -73.92421)"
208,John R. Oishei Children's Hospital,Hospital,818 Ellicott Street,Buffalo,Erie,New York,14203,7168787000,42.900716,-78.867203,"(42.900716, -78.867203)"
1639,Mount Sinai Hospital - Mount Sinai Hospital of Queens,Hospital,25-10 30th Avenue,Long Island City,Queens,New York,11102,7189321000,40.768269,-73.924461,"(40.768269, -73.924461)"
895,John T Mather Memorial Hospital of Port Jefferson New York Inc,Hospital,75 North Country Road,Port Jefferson,Suffolk,New York,11777,6314731320,40.93816,-73.053894,"(40.93816, -73.053894)"
1138,Blythedale Children's Hospital,Hospital,95 Bradhurst Avenue,Valhalla,Westchester,New York,10595,9145927555,41.076408,-73.798767,"(41.076408, -73.798767)"
746,Mary Imogene Bassett Hospital,Hospital,One Atwell Road,Cooperstown,Otsego,New York,13326,6075473456,42.695793,-74.922684,"(42.695793, -74.922684)"
1305,Maimonides Medical Center,Hospital,4802 Tenth Avenue,Brooklyn,Kings,New York,11219,7182836000,40.639423,-73.99839,"(40.639423, -73.99839)"
550,Syosset Hospital,Hospital,221 Jericho Turnpike,Syosset,Nassau,New York,11791,5164966400,40.810238,-73.508614,"(40.810238, -73.508614)"
1740,Staten Island University Hosp-North,Hospital,475 Seaview Avenue,Staten Island,Richmond,New York,10305,7182269515,40.584141,-74.086998,"(40.584141, -74.086998)"
245,Stony Brook University Hospital,Hospital,Health Sciences Center SUNY,Stony Brook,Suffolk,New York,11794,6314442701,40.909217,-73.115198,"(40.909217, -73.115198)"
2,Albany Medical Center - South Clinical Campus,Hospital,25 Hackett Boulevard,Albany,Albany,New York,12208,5182621200,42.645485,-73.77829,"(42.645485, -73.77829)"
943,St Catherine of Siena Hospital,Hospital,50 Route 25A,Smithtown,Suffolk,New York,11787,6318623107,40.867531,-73.220222,"(40.867531, -73.220222)"
581,Degraff Memorial Hospital,Hospital,445 Tremont Street,North Tonawanda,Niagara,New York,14120,7166944500,43.026154,-78.862457,"(43.026154, -78.862457)"
409,Highland Hospital,Hospital,1000 South Avenue,Rochester,Monroe,New York,14620,5854732200,43.135769,-77.607544,"(43.135769, -77.607544)"
1486,Henry J. Carter Specialty Hospital,Hospital,1752 Park Avenue,New York,New York,New York,10035,2123188000,40.802979,-73.940811,"(40.802979, -73.940811)"
718,Medina Memorial Hospital,Hospital,200 Ohio Street,Medina,Orleans,New York,14103,5857982000,43.223637,-78.397141,"(43.223637, -78.397141)"
174,Delaware Valley Hospital Inc,Hospital,1 Titus Place,Walton,Delaware,New York,13856,6078652100,42.165611,-75.12812,"(42.165611, -75.12812)"
1629,Jamaica Hospital Medical Center,Hospital,89th Avenue & Van Wyck Expressway,Jamaica,Queens,New York,11418,7182066000,40.701412,-73.816299,"(40.701412, -73.816299)"
9700,Lenox Health Greenwich Village,Hospital,30 Seventh Avenue,New York,New York,New York,10011,5164658018,40.737576,-74.000488,"(40.737576, -74.000488)"
563,St. Francis Hospital & Heart Center,Hospital,100 Port Washington Boulevard,Roslyn,Nassau,New York,11576,5165626000,40.800301,-73.669098,"(40.800301, -73.669098)"
552,Plainview Hospital,Hospital,888 Old Country Road,Plainview,Nassau,New York,11803,5167193000,40.774471,-73.478264,"(40.774471, -73.478264)"
1318,Wyckoff Heights Medical Center,Hospital,374 Stockholm Street,Brooklyn,Kings,New York,11237,7189637101,40.704517,-73.91774,"(40.704517, -73.91774)"
798,Claxton-Hepburn Medical Center,Hospital,214 King Street,Ogdensburg,Saint Lawrence,New York,13669,3153933600,44.692039,-75.499908,"(44.692039, -75.499908)"
267,Kenmore Mercy Hospital,Hospital,2950 Elmwood Avenue,Kenmore,Erie,New York,14217,7164476100,42.977848,-78.878754,"(42.977848, -78.878754)"
158,Guthrie Cortland Medical Center,Hospital,134 Homer Avenue,Cortland,Cortland,New York,13045,6077567525,42.609051,-76.186195,"(42.609051, -76.186195)"
9753,NYU Langone Health-Cobble Hill,Hospital,83 Amity Street,Brooklyn,Kings,New York,11201,,40.689615,-73.997478,"(40.689615, -73.997478)"
870,St. James Hospital,Hospital,7329 Seneca Road North,Hornell,Steuben,New York,14843,6073248000,42.314438,-77.660164,"(42.314438, -77.660164)"
116,Arnot Ogden Medical Center,Hospital,600 Roe Avenue,Elmira,Chemung,New York,14905,6077374230,42.099285,-76.826782,"(42.099285, -76.826782)"
1176,SBH Health System,Hospital,4422 Third Avenue,Bronx,Bronx,New York,10457,7189606100,40.853909,-73.891014,"(40.853909, -73.891014)"
812,Gouverneur Hospital,Hospital,77 West Barney Street,Gouverneur,Saint Lawrence,New York,13642,3152874863,44.338207,-75.474411,"(44.338207, -75.474411)"
165,O'Connor Hospital,Hospital,460 Andes Road,Delhi,Delaware,New York,13753,6077460300,42.269238,-74.91555,"(42.269238, -74.91555)"
15437,Mount Sinai -  Behavioral Health Center,Hospital,45 Rivington Street,New York,New York,New York,10002,,40.720812,-73.991089,"(40.720812, -73.991089)"
1098,St. Joseph's Medical Center,Hospital,127 South Broadway,Yonkers,Westchester,New York,10701,9143787000,40.929512,-73.896957,"(40.929512, -73.896957)"
858,Schuyler Hospital,Hospital,220 Steuben Street,Montour Falls,Schuyler,New York,14865,6075357121,42.351536,-76.858627,"(42.351536, -76.858627)"
1465,Rockefeller University Hospital,Hospital,1230 York Avenue,New York,New York,New York,10021,2123277511,40.762962,-73.956512,"(40.762962, -73.956512)"
1028,Newark-Wayne Community Hospital,Hospital,"1200 Driving Park Avenue, Box 111",Newark,Wayne,New York,14513,3153322022,43.059728,-77.102244,"(43.059728, -77.102244)"
848,Ellis Hospital - Bellevue Woman's Care Center Division,Hospital,2210 Troy Road,Niskayuna,Schenectady,New York,12309,5183469400,42.793575,-73.879089,"(42.793575, -73.879089)"
598,St Elizabeth Medical Center,Hospital,2209 Genesee St,Utica,Oneida,New York,13501,3157988100,43.083561,-75.267189,"(43.083561, -75.267189)"
1445,Harlem Hospital Center,Hospital,506 Lenox Avenue,New York,New York,New York,10037,2129391000,40.81435,-73.940506,"(40.81435, -73.940506)"
589,"Rome Memorial Hospital, Inc",Hospital,1500 N James St,Rome,Oneida,New York,13440,3153387000,43.229935,-75.443466,"(43.229935, -75.443466)"
306,Adirondack Medical Center-Lake Placid Site,Hospital,203 Old Military Road,Lake Placid,Essex,New York,12946,5185233311,44.266376,-73.98455,"(44.266376, -73.98455)"
377,"River Hospital, Inc.",Hospital,4 Fuller Street,Alexandria Bay,Jefferson,New York,13607,3154822511,44.337296,-75.919991,"(44.337296, -75.919991)"
1153,Wyoming County Community Hospital,Hospital,400 North Main Street,Warsaw,Wyoming,New York,14569,5857868940,42.753513,-78.132454,"(42.753513, -78.132454)"
630,St. Joseph's Hospital Health Center,Hospital,301 Prospect Avenue,Syracuse,Onondaga,New York,13203,3154485111,43.055744,-76.149384,"(43.055744, -76.149384)"
135,The University of Vermont Health Network - Champlain Valley Physicians Hospital,Hospital,75 Beekman St,Plattsburgh,Clinton,New York,12901,5185612000,44.700279,-73.466751,"(44.700279, -73.466751)"
1460,New York Eye and Ear Infirmary of Mount Sinai,Hospital,310 East 14th Street,New York,New York,New York,10003,2129794300,40.732189,-73.984711,"(40.732189, -73.984711)"
1304,NYU Langone Hospital-Brooklyn,Hospital,150 55th Street,Brooklyn,Kings,New York,11220,7186307300,40.646591,-74.020439,"(40.646591, -74.020439)"
1169,Montefiore Medical Center - Henry & Lucy Moses Div,Hospital,111 East 210th Street,Bronx,Bronx,New York,10467,7189202001,40.879951,-73.880562,"(40.879951, -73.880562)"
968,Garnet Health Medical Center - Catskills - G. Hermann Site,Hospital,8881 State Route 97,Callicoon,Sullivan,New York,12723,8457943300,41.74115,-75.046593,"(41.74115, -75.046593)"
339,United Memorial Medical Center North Street Campus,Hospital,127 North St,Batavia,Genesee,New York,14020,5853436030,43.00404,-78.177475,"(43.00404, -78.177475)"
181,Vassar Brothers Medical Center,Hospital,45 Reade Place,Poughkeepsie,Dutchess,New York,12601,8454548500,41.694523,-73.935799,"(41.694523, -73.935799)"
4,Samaritan Hospital - Albany Memorial Campus,Hospital,600 Northern Boulevard,Albany,Albany,New York,12204,5184713221,42.674271,-73.749268,"(42.674271, -73.749268)"
676,Clifton Springs Hospital and Clinic,Hospital,2 Coulter Road,Clifton Springs,Ontario,New York,14432,3154621311,42.960537,-77.138863,"(42.960537, -77.138863)"
1638,Long Island Jewish Forest Hills,Hospital,102-01 66th Road,Forest Hills,Queens,New York,11375,5165624060,40.728745,-73.851036,"(40.728745, -73.851036)"
1005,Glens Falls Hospital,Hospital,100 Park Street,Glens Falls,Warren,New York,12801,5189261000,43.30735,-73.645996,"(43.30735, -73.645996)"
1039,NewYork-Presbyterian/Hudson Valley Hospital,Hospital,1980 Crompond Road,Cortlandt Manor,Westchester,New York,10567,9147379000,41.291512,-73.893341,"(41.291512, -73.893341)"
330,Nathan Littauer Hospital,Hospital,99 East State Street,Gloversville,Fulton,New York,12078,5187258621,43.068096,-74.330643,"(43.068096, -74.330643)"
292,Sisters of Charity Hospital - St. Joseph Campus,Hospital,2605 Harlem Road,Cheektowaga,Erie,New York,14225,7168912400,42.914642,-78.784241,"(42.914642, -78.784241)"
528,Nassau University Medical Center,Hospital,2201 Hempstead Turnpike,East Meadow,Nassau,New York,11554,5165720123,40.725353,-73.554321,"(40.725353, -73.554321)"
1099,SJRH - Park Care Pavilion,Hospital,Two Park Avenue,Yonkers,Westchester,New York,10703,9149647300,40.939613,-73.892181,"(40.939613, -73.892181)"
1045,White Plains Hospital Center,Hospital,41 East Post Road,White Plains,Westchester,New York,10601,9146810600,41.026333,-73.769585,"(41.026333, -73.769585)"
9059,Crouse Hospital - Commonwealth Division,Hospital,6010 East Malloy Road,Syracuse,Onondaga,New York,13211,3154342470,43.099155,-76.098633,"(43.099155, -76.098633)"
1320,University Hospital of Brooklyn,Hospital,445 Lenox Road,Brooklyn,Kings,New York,11203,7182702401,40.654518,-73.945045,"(40.654518, -73.945045)"
383,Lewis County General Hospital,Hospital,7785 North State Street,Lowville,Lewis,New York,13367,3153765200,43.795677,-75.498146,"(43.795677, -75.498146)"
1446,NYU Langone Orthopedic Hospital,Hospital,301 East 17th Street,New York,New York,New York,10003,2125986000,40.734127,-73.98307,"(40.734127, -73.98307)"
103,UPMC Chautauqua at WCA,Hospital,207 Foote Avenue,Jamestown,Chautauqua,New York,14701,7164870141,42.091236,-79.232872,"(42.091236, -79.232872)"
401,Community Memorial Hospital Inc,Hospital,150 Broad St,Hamilton,Madison,New York,13346,3158241100,42.814011,-75.541962,"(42.814011, -75.541962)"
39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,Hospital,191 North Main Street,Wellsville,Allegany,New York,14895,5855931100,42.122921,-77.949974,"(42.122921, -77.949974)"
739,A.O. Fox Memorial Hospital,Hospital,One Norton Avenue,Oneonta,Otsego,New York,13820,6074322000,42.457405,-75.053261,"(42.457405, -75.053261)"
280,Bertrand Chaffee Hospital,Hospital,224 East Main St,Springville,Erie,New York,14141,7165922871,42.508575,-78.659103,"(42.508575, -78.659103)"
925,Good Samaritan Hospital Medical Center,Hospital,1000 Montauk Highway,West Islip,Suffolk,New York,11795,6313763000,40.696751,-73.286324,"(40.696751, -73.286324)"
3975,New York-Presbyterian Hospital - Allen Hospital,Hospital,5141 Broadway,New York,New York,New York,10034,2129324000,40.872475,-73.912773,"(40.872475, -73.912773)"
146,Columbia Memorial Hospital,Hospital,71 Prospect Ave,Hudson,Columbia,New York,12534,5188287601,42.246239,-73.776306,"(42.246239, -73.776306)"
756,Samaritan Hospital,Hospital,2215 Burdett Avenue,Troy,Rensselaer,New York,12180,5182713300,42.733574,-73.671455,"(42.733574, -73.671455)"
1288,Brooklyn Hospital Center - Downtown Campus,Hospital,121 Dekalb Avenue,Brooklyn,Kings,New York,11201,7182508000,40.689842,-73.977455,"(40.689842, -73.977455)"
518,Long Island Jewish Valley Stream,Hospital,900 Franklin Avenue,Valley Stream,Nassau,New York,11580,5162566000,40.681789,-73.685814,"(40.681789, -73.685814)"
3058,Montefiore Med Center - Jack D Weiler Hosp of A Einstein College Div,Hospital,1825 Eastchester Road,Bronx,Bronx,New York,10461,7189042001,40.849575,-73.845055,"(40.849575, -73.845055)"
708,Bon Secours Community Hospital,Hospital,160 East Main Street,Port Jervis,Orange,New York,12771,8458565351,41.367916,-74.682487,"(41.367916, -74.682487)"
678,F.F. Thompson Hospital,Hospital,350 Parrish Street,Canandaigua,Ontario,New York,14424,7163966527,42.875027,-77.289818,"(42.875027, -77.289818)"
412,Unity Specialty Hospital,Hospital,89 Genesee Street,Rochester,Monroe,New York,14611,5857237000,43.14901,-77.636139,"(43.14901, -77.636139)"
1129,Phelps Hospital,Hospital,701 North Broadway,Sleepy Hollow,Westchester,New York,10591,9143663000,41.107639,-73.859665,"(41.107639, -73.859665)"
1738,Richmond University Medical Center,Hospital,355 Bard Avenue,Staten Island,Richmond,New York,10310,7188182413,40.635807,-74.106674,"(40.635807, -74.106674)"
889,Stony Brook Southampton Hospital,Hospital,240 Meeting House Lane,Southampton,Suffolk,New York,11968,6317268200,40.885757,-72.380692,"(40.885757, -72.380692)"
1466,Mount Sinai West,Hospital,1000 10th Avenue,New York,New York,New York,10019,2125237225,40.770092,-73.987785,"(40.770092, -73.987785)"
180,Mid-Hudson Valley Division of Westchester Medical Center,Hospital,241 North Road,Poughkeepsie,Dutchess,New York,12601,8454835000,41.717392,-73.92942,"(41.717392, -73.92942)"
1122,New York-Presbyterian Westchester,Hospital,55 Palmer Avenue,Bronxville,Westchester,New York,10708,9147871000,40.941673,-73.836334,"(40.941673, -73.836334)"
1168,Montefiore Medical Center-Wakefield Hospital,Hospital,600 East 233rd Street,Bronx,Bronx,New York,10466,7189209000,40.894569,-73.86142,"(40.894569, -73.86142)"
118,St. Joseph's Hospital,Hospital,555 St. Joseph's Boulevard,Elmira,Chemung,New York,14901,6077336541,42.091446,-76.79686,"(42.091446, -76.79686)"
471,The Unity Hospital of Rochester,Hospital,1555 Long Pond Road,Rochester,Monroe,New York,14626,5857237000,43.191551,-77.701538,"(43.191551, -77.701538)"
484,St. Mary's Healthcare,Hospital,427 Guy Park Avenue,Amsterdam,Montgomery,New York,12010,5188421900,42.953758,-74.216194,"(42.953758, -74.216194)"
1178,BronxCare Hospital Center,Hospital,1650 Grand Concourse,Bronx,Bronx,New York,10457,7189018800,40.843609,-73.911545,"(40.843609, -73.911545)"
1301,Kings County Hospital Center,Hospital,451 Clarkson Avenue,Brooklyn,Kings,New York,11203,7182453901,40.655823,-73.944099,"(40.655823, -73.944099)"
752,Putnam Hospital,Hospital,670 Stoneleigh Avenue,Carmel,Putnam,New York,10512,8452795711,41.384766,-73.664413,"(41.384766, -73.664413)"
1324,Mount Sinai Brooklyn,Hospital,3201 Kings Highway,Brooklyn,Kings,New York,11234,7189513000,40.617954,-73.94323,"(40.617954, -73.94323)"
527,Mount Sinai South Nassau,Hospital,One Healthy Way,Oceanside,Nassau,New York,11572,5166323000,40.649601,-73.6315,"(40.649601, -73.6315)"
1046,Winifred Masterson Burke Rehabilitation Hospital,Hospital,785 Mamaroneck Avenue,White Plains,Westchester,New York,10605,9149480050,41.015186,-73.75573,"(41.015186, -73.75573)"
818,Saratoga Hospital,Hospital,211 Church Street,Saratoga Springs,Saratoga,New York,12866,5185873222,43.084843,-73.796341,"(43.084843, -73.796341)"
804,Massena Hospital,Hospital,1 Hospital Drive,Massena,Saint Lawrence,New York,13662,3157641711,44.936363,-74.907951,"(44.936363, -74.907951)"
913,Huntington Hospital,Hospital,270 Park Avenue,Huntington,Suffolk,New York,11743,6313512200,40.879513,-73.417442,"(40.879513, -73.417442)"
324,Adirondack Medical Center-Saranac Lake Site,Hospital,"2233 State Route 86, P.O. Box 471",Saranac Lake,Franklin,New York,12983,5188914141,44.343929,-74.144363,"(44.343929, -74.144363)"
989,HealthAlliance Hospital Mary's Avenue Campus,Hospital,105 Marys Avenue,Kingston,Ulster,New York,12401,8453382500,41.922276,-73.999237,"(41.922276, -73.999237)"
1286,Brookdale Hospital Medical Center,Hospital,1 Brookdale Plaza,Brooklyn,Kings,New York,11212-3139,7182405276,40.655066,-73.912579,"(40.655066, -73.912579)"
699,Garnet Health Medical Center,Hospital,707 East Main Street,Middletown,Orange,New York,10940,8453331000,41.439953,-74.368744,"(41.439953, -74.368744)"
413,Strong Memorial Hospital,Hospital,601 Elmwood Avenue,Rochester,Monroe,New York,14642,5852758387,43.124336,-77.623779,"(43.124336, -77.623779)"
192,Northern Dutchess Hospital,Hospital,6511 Springbrook Avenue,Rhinebeck,Dutchess,New York,12572,8458713001,41.934223,-73.912331,"(41.934223, -73.912331)"
1454,Metropolitan Hospital Center,Hospital,1901 First Avenue,New York,New York,New York,10029,2124238993,40.784775,-73.94368,"(40.784775, -73.94368)"
636,Crouse Hospital,Hospital,736 Irving Avenue,Syracuse,Onondaga,New York,13210,3154707111,43.041107,-76.137932,"(43.041107, -76.137932)"
213,Mercy Hospital of Buffalo,Hospital,565 Abbott Road,Buffalo,Erie,New York,14220,7168267000,42.84853,-78.812859,"(42.84853, -78.812859)"
85,Auburn Community Hospital,Hospital,17 Lansing Street,Auburn,Cayuga,New York,13021,3152557209,42.940811,-76.564758,"(42.940811, -76.564758)"
10223,Calvary Hospital,Hospital,150 55th Street,Brooklyn,Kings,New York,11220,,40.646444,-74.021033,"(40.646444, -74.021033)"
1723,Mercy Hospital - Mercy Hospital Orchard Park Division,Hospital,3669 Southwestern Blvd,Orchard Park,Erie,New York,14127,7166620500,42.781742,-78.77224,"(42.781742, -78.77224)"
1309,Interfaith Medical Center,Hospital,1545 Atlantic Avenue,Brooklyn,Kings,New York,11213,7189357000,40.67794,-73.937515,"(40.67794, -73.937515)"
111,Westfield Memorial Hospital Inc,Hospital,189 E Main Street,Westfield,Chautauqua,New York,14787,7163264921,42.327965,-79.569412,"(42.327965, -79.569412)"
551,St. Joseph Hospital,Hospital,4295 Hempstead Turnpike,Bethpage,Nassau,New York,11714,5165796000,40.725853,-73.478714,"(40.725853, -73.478714)"
10139,New York-Presbyterian David H. Koch Center,Hospital,1283 York Avenue,New York,New York,New York,10065,,40.764794,-73.955346,"(40.764794, -73.955346)"
1437,New York-Presbyterian/Lower Manhattan Hospital,Hospital,170 William Street,New York,New York,New York,10038,2123125175,40.710426,-74.005486,"(40.710426, -74.005486)"
829,Ellis Hospital,Hospital,1101 Nott Street,Schenectady,Schenectady,New York,12308,5182434000,42.819839,-73.918747,"(42.819839, -73.918747)"
694,St Luke's Cornwall Hospital/Newburgh,Hospital,70 Dubois Street,Newburgh,Orange,New York,12550,8455614400,41.503017,-74.015129,"(41.503017, -74.015129)"
