Facility ID,Name,Type,Street Address,City,County,State,Zip Code,Facility Phone Number,Facility Latitude,Facility Longitude,Facility Location
7745,"Elmhurst Care Center, Inc",Residential Health Care Facility,100-17 23 Avenue,East Elmhurst,Queens,New York,11369,7182058100,40.59513,-73.941054,"(40.59513, -73.941054)"
3390,Montefiore Nyack Hospital,Long Term Home Health Care Program,"One Blue Hill Plaza, 6th Floor",Pearl River,Rockland,New York,10965,8456388700,40.595257,-73.781097,"(40.595257, -73.781097)"
871,Maple City Rehabilitation and Nursing Center,Residential Health Care Facility,434 Monroe Avenue,Hornell,Steuben,New York,14843,6073247740,40.595349,-73.940935,"(40.595349, -73.940935)"
464,The Friendly Home,Residential Health Care Facility,3156 East Avenue,Rochester,Monroe,New York,14618,5853811600,40.595351,-73.743113,"(40.595351, -73.743113)"
14998,Home of the Good Shepherd,Adult Home,390 Church Street,Saratoga Springs,Saratoga,New York,12866,5185843317,40.595409,-73.748398,"(40.595409, -73.748398)"
14951,Elm York Home for Adults,Adult Home,100-30 Ditmars Boulevard,East Elmhurst,Queens,New York,11369,7184467900,40.596001,-73.99736,"(40.596001, -73.99736)"
1245,Pelham Parkway Nursing Care and Rehabilitation Facility LLC,Residential Health Care Facility,2401 Laconia Ave,Bronx,Bronx,New York,10469,7187988600,40.596156,-73.99677,"(40.596156, -73.99677)"
150,FASNY Firefighter's Home,Residential Health Care Facility,125 Harry-Howard Avenue,Hudson,Columbia,New York,12534,5188287695,40.596214,-74.090599,"(40.596214, -74.090599)"
654,Central Park Rehabilitation and Nursing Center,Residential Health Care Facility,116 Martin Luther King East,Syracuse,Onondaga,New York,13205,3154751641,40.596481,-73.751122,"(40.596481, -73.751122)"
3910,Eden Rehabilitation & Nursing Center,Residential Health Care Facility,2806 George Street,Eden,Erie,New York,14057,7169923987,40.596709,-73.753637,"(40.596709, -73.753637)"
14650,Orchard Grove Residences,Adult Home,2000 Southwestern Drive W. E.,Jamestown,Chautauqua,New York,14701,7163381600,40.59795,-73.744637,"(40.59795, -73.744637)"
14660,Chenango County Home Preston Manor,Adult Home,"1150 County Road 4  RFD #2, Box 203",Oxford,Chenango,New York,13830,6073349428,40.598469,-73.764702,"(40.598469, -73.764702)"
761,Van Rensselaer Manor,Residential Health Care Facility,85 Bloomingrove Drive,Troy,Rensselaer,New York,12180,5182832000,40.599018,-73.751686,"(40.599018, -73.751686)"
335,Wells Nursing Home Inc,Residential Health Care Facility,201 W Madison Avenue,Johnstown,Fulton,New York,12095,5187624546,40.599171,-73.65593,"(40.599171, -73.65593)"
15123,Palisade Gardens,Adult Home,185 Palisade Avenue,Yonkers,Westchester,New York,10703,9149661300,40.599232,-73.754799,"(40.599232, -73.754799)"
5515,Peconic Bay Homehealth Services,Certified Home Health Agency,1 Heroes Way,Riverhead,Suffolk,New York,11901,6315486432,40.599549,-73.749295,"(40.599549, -73.749295)"
7064,Taconic Rehabilitation and Nursing at Ulster,Residential Health Care Facility,One Wingate Way,Highland,Ulster,New York,12528,8456916800,40.599613,-73.941666,"(40.599613, -73.941666)"
3032,"Royal Care Certified Home Health Care, LLC",Certified Home Health Agency,"30-50 Whitestone Expressway, Suite 304",Flushing,Queens,New York,11354,7184751000,40.60004,-73.752151,"(40.60004, -73.752151)"
195,The Baptist Home at Brookmeade,Residential Health Care Facility,46 Brookmeade Drive,Rhinebeck,Dutchess,New York,12572,8458762071,40.600983,-73.749962,"(40.600983, -73.749962)"
15042,Woodhaven Home for Adults,Adult Home,1350 Route 112,Port Jefferson Sta.,Suffolk,New York,11776,6314733304,40.601067,-73.756523,"(40.601067, -73.756523)"
14936,Heritage at The Plains at Parish Homestead,Adult Home,163 Heritage Circle,Oneonta,Otsego,New York,13820,6072674013,40.601162,-73.937602,"(40.601162, -73.937602)"
1404,Concord Nursing and Rehabilitation Center,Residential Health Care Facility,300 Madison Street,Brooklyn,Kings,New York,11216,7186367500,40.603535,-73.972633,"(40.603535, -73.972633)"
521,The Grand Rehabilitation and Nursing at Great Neck,Residential Health Care Facility,15 St Pauls Place,Great Neck,Nassau,New York,11021,5164663001,40.605303,-73.751002,"(40.605303, -73.751002)"
3307,East Neck Nursing & Rehabilitation Center,Residential Health Care Facility,134 Great East Neck Road,West Babylon,Suffolk,New York,11704,6314224800,40.606915,-74.131828,"(40.606915, -74.131828)"
14911,Horizons,Adult Home,3132 State Route 21 South,Canandaigua,Ontario,New York,14424,5853963390,40.606957,-73.987399,"(40.606957, -73.987399)"
9668,Four Seasons Nursing and Rehabilitation Certified Home Health Agency,Certified Home Health Agency,1535 Rockaway Parkway,Brooklyn,Kings,New York,11236,7183075460,40.608437,-74.122993,"(40.608437, -74.122993)"
15064,Birchwood Suites,Adult Home,423 Clay Pitts Road,East Northport,Suffolk,New York,11731,6313685252,40.609184,-73.914093,"(40.609184, -73.914093)"
6171,Putnam Ridge,Residential Health Care Facility,46 Mt Ebo Road North,Brewster,Putnam,New York,10509,8452783636,40.609352,-74.002373,"(40.609352, -74.002373)"
15013,Marchand Manor,Adult Home,"121 Main Street, Route 10",Sharon Springs,Schoharie,New York,13459,5182842357,40.61515,-74.023781,"(40.61515, -74.023781)"
1755,Carmel Richmond Healthcare and Rehabilitation Center,Residential Health Care Facility,88 Old Town Road,Staten Island,Richmond,New York,10304,7189795000,40.616329,-74.024315,"(40.616329, -74.024315)"
7016,Glen Arden Inc,Residential Health Care Facility,214 Harriman Drive,Goshen,Orange,New York,10924,8452917800,40.620567,-74.076324,"(40.620567, -74.076324)"
478,Penfield Place,Residential Health Care Facility,1700 Penfield Rd,Penfield,Monroe,New York,14526,5855867433,40.622074,-73.964531,"(40.622074, -73.964531)"
3608,CareFirst / Southern Tier Hospice and Palliative Care / Southern Tier Hospice,Hospice,3805 Meads Creek Road,Painted Post,Steuben,New York,14870,6079623100,40.622318,-73.987366,"(40.622318, -73.987366)"
4107,St Johnsville Rehabilitation and Nursing Center,Residential Health Care Facility,7 Timmerman Avenue,St Johnsville,Montgomery,New York,13452,5185685037,40.622379,-74.078377,"(40.622379, -74.078377)"
1775,Essex County Nursing Service,Certified Home Health Agency,"132 Water Street, PO Box 217",Elizabethtown,Essex,New York,12932,5188733500,40.625118,-74.003334,"(40.625118, -74.003334)"
822,Wesley Health Care Center Inc,Residential Health Care Facility,131 Lawrence Street,Saratoga Springs,Saratoga,New York,12866,5185873600,40.625252,-74.003588,"(40.625252, -74.003588)"
1233,Fieldston Lodge Care Center,Residential Health Care Facility,666 Kappock Street,Bronx,Bronx,New York,10463,7185491203,40.625799,-73.980342,"(40.625799, -73.980342)"
953,Luxor Nursing and Rehabilitation at Mills Pond,Residential Health Care Facility,273 Moriches Road,St James,Suffolk,New York,11780,6318628990,40.627734,-74.159046,"(40.627734, -74.159046)"
1258,Fordham Nursing and Rehabilitation Center,Residential Health Care Facility,2678 Kingsbridge Terrace,Bronx,Bronx,New York,10463,7187965800,40.628391,-73.991936,"(40.628391, -73.991936)"
4285,Hamilton Park Nursing and Rehabilitation Center,Residential Health Care Facility,691 92 Street,Brooklyn,Kings,New York,11228,7185671820,40.630586,-73.970587,"(40.630586, -73.970587)"
1126,Andrus On Hudson,Residential Health Care Facility,185 Old Broadway,Hastings-On-Hudson,Westchester,New York,10706,9144783700,40.632293,-73.707864,"(40.632293, -73.707864)"
14825,Sunrise of Glen Cove,Adult Home,39 Forest Avenue,Glen Cove,Nassau,New York,11542,5166560575,40.632489,-74.096993,"(40.632489, -74.096993)"
14629,Garden House For Adults,Adult Home,91 Walnut Street,Binghamton,Broome,New York,13905,6077245763,40.633396,-74.092171,"(40.633396, -74.092171)"
14760,East Road Adult Home,Adult Home,7731 East Road,Lowville,Lewis,New York,13367,3153767072,40.634281,-74.087616,"(40.634281, -74.087616)"
15036,The Bristal at Sayville,Adult Home,129 Lakeland Avenue,Sayville,Suffolk,New York,11782,6315631160,40.634675,-73.908324,"(40.634675, -73.908324)"
14775,Crimson Ridge Gardens,Adult Home,1 Treeline Drive,Rochester,Monroe,New York,14612,5857209310,40.634759,-74.013732,"(40.634759, -74.013732)"
15133,Woodview Court,Adult Home,1015 Saw Mill River Road,Ardsley,Westchester,New York,10502,9144001103,40.634837,-74.013714,"(40.634837, -74.013714)"
14973,New Broadview Home for Adults,Adult Home,70 Father Capodanno Boulevard,Staten Island,Richmond,New York,10305,7182738900,40.638084,-73.928993,"(40.638084, -73.928993)"
1026,Washington Center for Rehabilitation and Healthcare,Residential Health Care Facility,Route 40,Argyle,Washington,New York,12809,5186388274,40.638824,-73.926178,"(40.638824, -73.926178)"
277,Brooklyn-Queens Nursing Home,Residential Health Care Facility,2749 Linden Blvd,Brooklyn,Kings,New York,11208,7182775100,40.638924,-73.998734,"(40.638924, -73.998734)"
6057,MVHS Rehabilitation and Nursing Center,Residential Health Care Facility,1650 Champlin Avenue,Utica,Oneida,New York,13502,3156248600,40.639965,-73.957695,"(40.639965, -73.957695)"
931,Sunrise Manor Center for Nursing and Rehabilitation,Residential Health Care Facility,1325 Brentwood Road,Bay Shore,Suffolk,New York,11706,6316654960,40.640015,-74.094337,"(40.640015, -74.094337)"
1381,"Cobble Hill Health Center, Inc",Residential Health Care Facility,380 Henry Street,Brooklyn,Kings,New York,11201,7188556789,40.640168,-74.095726,"(40.640168, -74.095726)"
7643,"Lutheran Center at Poughkeepsie, Inc",Residential Health Care Facility,965 Duthcess Turnpike,Poughkeepsie,Dutchess,New York,12603,8454869494,40.640358,-73.64209,"(40.640358, -73.64209)"
877,Berkshire Nursing & Rehabilitation  Center,Residential Health Care Facility,10 Berkshire Road,W Babylon,Suffolk,New York,11704,6315870600,40.641064,-73.972786,"(40.641064, -73.972786)"
1665,St. Mary's Hospital for Children,Residential Health Care Facility,29-01 216th Street,Bayside,Queens,New York,11360,7182818800,40.642799,-73.899612,"(40.642799, -73.899612)"
15356,Brightview Port Jefferson,Adult Home,1175 Rt. 112,Port Jefferson Station,Suffolk,New York,11776,6318025021,40.643169,-73.900024,"(40.643169, -73.900024)"
14931,The Gardens by Morningstar,Adult Home,132 Ellen Street,Oswego,Oswego,New York,13126,3153430880,40.645325,-73.883415,"(40.645325, -73.883415)"
4092,Pathways Nursing and Rehabilitation Center,Residential Health Care Facility,1805 Providence Avenue,Niskayuna,Schenectady,New York,12309,5183742212,40.648965,-73.897988,"(40.648965, -73.897988)"
14887,McHarrie Pointe,Adult Home,7740 Meigs Road,Baldwinsville,Onondaga,New York,13027,3156382521,40.64941,-73.898132,"(40.64941, -73.898132)"
7665,Linden Center for Nursing and Rehabilitation,Residential Health Care Facility,2237 Linden Boulevard,Brooklyn,Kings,New York,11207,7186497000,40.649609,-73.967712,"(40.649609, -73.967712)"
5760,Taconic Rehabilitation and Nursing at Hopewell,Residential Health Care Facility,3 Summit Court,Fishkill,Dutchess,New York,12524,8458961500,40.649876,-73.667297,"(40.649876, -73.667297)"
9269,Shining Star Home Health Care,Certified Home Health Agency,5922 18th Avenue,Brooklyn,Kings,New York,11204,7184354700,40.651974,-73.594452,"(40.651974, -73.594452)"
15002,Willow Ridge Pointe,Adult Home,1 Prospect Street,Mechanicville,Saratoga,New York,12118,5186648014,40.652256,-73.591904,"(40.652256, -73.591904)"
3293,Eddy Memorial Geriatric Center,Residential Health Care Facility,2256 Burdett Avenue,Troy,Rensselaer,New York,12180,5182749890,40.652481,-73.953758,"(40.652481, -73.953758)"
14923,Braemar Living at Wallkill,Adult Home,21 Riverside Drive,Middletown,Orange,New York,10941,9143052230,40.652994,-73.954223,"(40.652994, -73.954223)"
6462,Medford Multicare Center for Living,Residential Health Care Facility,3115 Horseblock Road,Medford,Suffolk,New York,11763,6317303000,40.655045,-73.913261,"(40.655045, -73.913261)"
633,The Grand Rehabilitation and Nursing at Delaware Park,Residential Health Care Facility,1205 Delaware Avenue,Buffalo,Erie,New York,14209,7168853838,40.655528,-73.679438,"(40.655528, -73.679438)"
1001,New Paltz Center for Rehabilitation and Nursing,Residential Health Care Facility,"1 Jansen Road, P.O. Box 909",New Paltz,Ulster,New York,12561,8452550830,40.656416,-73.683942,"(40.656416, -73.683942)"
3973,"High Peaks Hospice and Palliative Care, Inc.",Hospice,"309 County Rte 47, Suite 7",Saranac Lake,Franklin,New York,12983,5188919631,40.658021,-73.631837,"(40.658021, -73.631837)"
14616,The W Assisted Living at Riverdale Home for Adults,Adult Home,6355 Broadway,Bronx,Bronx,New York,10471,7185493300,40.659435,-73.934036,"(40.659435, -73.934036)"
1249,Triboro Center for Rehabilitation and Nursing,Residential Health Care Facility,1160 Teller Ave,Bronx,Bronx,New York,10456,7182931500,40.660229,-73.939819,"(40.660229, -73.939819)"
1682,Forest View Center for Rehabilitation & Nursing,Residential Health Care Facility,71-20 110th Street,Forest Hills,Queens,New York,11375,7187933200,40.663113,-73.880653,"(40.663113, -73.880653)"
3902,Elderwood at Hornell,Residential Health Care Facility,One Bethesda Drive,N Hornell,Steuben,New York,14843,6073246900,40.663701,-73.659007,"(40.663701, -73.659007)"
1852,Lawrence Home Care of Westchester,Certified Home Health Agency,670 White Plains Road,Scarsdale,Westchester,New York,10583,9147876158,40.663876,-73.650276,"(40.663876, -73.650276)"
364,Alpine Rehabilitation and Nursing Center,Residential Health Care Facility,755 East Monroe Street,Little Falls,Herkimer,New York,13365,3158231001,40.664047,-73.651192,"(40.664047, -73.651192)"
4037,Bushwick Center for Rehabilitation and Health Care,Residential Health Care Facility,50 Sheffield Avenue,Brooklyn,Kings,New York,11207,7183452273,40.667854,-73.438622,"(40.667854, -73.438622)"
14694,Heathwood Assisted Living at Williamsville,Adult Home,815 Hopkins Road,Williamsville,Erie,New York,14221,7166880111,40.669674,-73.862778,"(40.669674, -73.862778)"
5625,"Tender Loving Care, an Amedisys Company",Certified Home Health Agency,"100 Garden City Plaza, Suite 100",Garden City,Nassau,New York,11530,5169353737,40.670152,-73.674602,"(40.670152, -73.674602)"
14726,Leroy Manor,Adult Home,8678 Lake Street Road,Leroy,Genesee,New York,14482,5857686291,40.671021,-73.862457,"(40.671021, -73.862457)"
1578,New East Side Nursing Home,Residential Health Care Facility,25 Bialystoker Place,New York,New York,New York,10002,2126738500,40.674923,-73.945709,"(40.674923, -73.945709)"
1373,Seagate Rehabilitation and Nursing Center,Residential Health Care Facility,3015 W 29 St,Brooklyn,Kings,New York,11224,7182665700,40.675587,-73.959229,"(40.675587, -73.959229)"
1700,"Woodcrest Rehabilitation & Residential Health Care Center., LLC",Residential Health Care Facility,119-09 26th Avenue,College Point,Queens,New York,11354,7187626100,40.675779,-73.867697,"(40.675779, -73.867697)"
778,Pine Valley Center for Rehabilitation and Nursing,Residential Health Care Facility,661 N Main St,Spring Valley,Rockland,New York,10977,8453560567,40.676289,-73.898109,"(40.676289, -73.898109)"
1796,HHC Health and Home Care,Certified Home Health Agency,"50 Water Street, 6th Floor",New York,New York,New York,10004,6464586100,40.678387,-73.92572,"(40.678387, -73.92572)"
14683,Glenwell,Adult Home,2248 Old Union Road,Cheektowaga,Erie,New York,14227,7166087000,40.6787,-73.4247,"(40.6787, -73.4247)"
15149,Clinton Crest Manor,Adult Home,411 Clinton Street,Penn Yan,Yates,New York,14527,3155368800,40.681789,-73.685814,"(40.681789, -73.685814)"
15047,The Arbors at Islandia East,Adult Home,1515A Veterans Memorial Highway,Islandia,Suffolk,New York,11749,6312323131,40.684139,-73.422721,"(40.684139, -73.422721)"
14941,Belle Harbor Manor,Adult Home,209 Beach 125th Street,Belle Harbor,Queens,New York,11694,7189456600,40.684699,-73.316212,"(40.684699, -73.316212)"
14989,The New Golden Acres SP LLC,Adult Home,11 Prospect Street,Spring Valley,Rockland,New York,10977,8453562440,40.684998,-73.973228,"(40.684998, -73.973228)"
15130,Sunrise of Crestwood,Adult Home,65 Crisfield Street,Yonkers,Westchester,New York,10710,9143953500,40.68515,-73.946304,"(40.68515, -73.946304)"
4494,Crouse Community Center Inc,Residential Health Care Facility,101 South Street,Morrisville,Madison,New York,13408,3156849595,40.685375,-73.971214,"(40.685375, -73.971214)"
4552,Luxor Nursing and Rehabilitation at Sayville,Residential Health Care Facility,300 Broadway Avenue,Sayville,Suffolk,New York,11782,6315679300,40.686268,-73.987091,"(40.686268, -73.987091)"
560,Central Island Healthcare,Residential Health Care Facility,825 Old Country Rd,Plainview,Nassau,New York,11803,5164330600,40.686711,-73.341398,"(40.686711, -73.341398)"
593,The Grand Rehabilitation and Nursing at Rome,Residential Health Care Facility,801 North James Street,Rome,Oneida,New York,13440,3153370550,40.688328,-73.997482,"(40.688328, -73.997482)"
15097,The New Village View SP LLC,Adult Home,1 Grove Street,Highland,Ulster,New York,12528,8456918399,40.688433,-73.997774,"(40.688433, -73.997774)"
5989,"Family Care Certified Services, a Division of Tri-Borough Certified Health Systems of NY",Long Term Home Health Care Program,"50 Clinton Street, Suite 601",Hempstead,Nassau,New York,11550,5169327799,40.68926,-73.923587,"(40.68926, -73.923587)"
14832,Orchard Estate of Woodbury,Adult Home,900 Woodbury Road,Woodbury,Nassau,New York,11797,5164078096,40.690781,-73.345139,"(40.690781, -73.345139)"
15018,Maryville Home For Adults,Adult Home,7678 County Road 70,Avoca,Steuben,New York,14809,6075662368,40.690891,-73.292473,"(40.690891, -73.292473)"
14742,Oceanview Manor Home for Adults,Adult Home,3010 West 33rd Street,Brooklyn,Kings,New York,11224,7189961500,40.691135,-73.540489,"(40.691135, -73.540489)"
1226,Gold Crest Care Center,Residential Health Care Facility,2316 Bruner Avenue,Bronx,Bronx,New York,10469,7188826400,40.692551,-73.769135,"(40.692551, -73.769135)"
14763,Hamilton Manor Home for Adults,Adult Home,8196 Green Road,Hubbardsville,Madison,New York,13355,3156914051,40.694958,-73.978012,"(40.694958, -73.978012)"
735,St Luke Residential Health Care Facility Inc,Residential Health Care Facility,299 East River Road,Oswego,Oswego,New York,13126,3153423166,40.696934,-73.927689,"(40.696934, -73.927689)"
91,Auburn Rehabilitation & Nursing Center,Residential Health Care Facility,85 Thornton Avenue,Auburn,Cayuga,New York,13021,3152537351,40.697464,-73.585617,"(40.697464, -73.585617)"
3242,James G. Johnston Memorial Nursing Home,Residential Health Care Facility,286 Deyo Hill Road,Johnson City,Broome,New York,13790,6077987818,40.697664,-73.320701,"(40.697664, -73.320701)"
1398,Sheepshead Nursing & Rehabilitation Center,Residential Health Care Facility,2840 Knapp St,Brooklyn,Kings,New York,11235,7186465700,40.697823,-73.615936,"(40.697823, -73.615936)"
14984,"Evergreen Court Home for Adults SP, LLC",Adult Home,65 Lafayette Street,Spring Valley,Rockland,New York,10977,8453567700,40.700279,-73.816765,"(40.700279, -73.816765)"
17,St. Peter's Nursing And Rehabilitation Center,Residential Health Care Facility,301 Hackett Blvd,Albany,Albany,New York,12208,5185257600,40.700287,-73.958183,"(40.700287, -73.958183)"
6009,"Meadowbrook Care Center, Inc",Residential Health Care Facility,320 West Merrick Road,Freeport,Nassau,New York,11520,5163778200,40.704697,-73.677116,"(40.704697, -73.677116)"
14633,Castle Gardens Keepsake Village,Adult Home,1715 Castle Gardens Road,Vestal,Broome,New York,13850,6077485700,40.705803,-73.736023,"(40.705803, -73.736023)"
1069,Westchester Center for Rehabilitation & Nursing,Residential Health Care Facility,10 Claremont Ave,Mount Vernon,Westchester,New York,10550,9146991600,40.706181,-73.623581,"(40.706181, -73.623581)"
6518,Peconic Landing at Southold,Residential Health Care Facility,1500 Brecknock Road,Greenport,Suffolk,New York,11944,6314773800,40.706333,-74.012939,"(40.706333, -74.012939)"
9546,Wartburg Home Care,Certified Home Health Agency,"1 Wartburg Place, Hauselt Building, 1st floor",Mount Vernon,Westchester,New York,10552,9145135860,40.706352,-73.343933,"(40.706352, -73.343933)"
15106,The Cambridge,Adult Home,4 West Main Street,Cambridge,Washington,New York,12816,5186773460,40.706882,-73.811638,"(40.706882, -73.811638)"
1391,Oxford Nursing Home,Residential Health Care Facility,144 So Oxford St,Brooklyn,Kings,New York,11217,7186380360,40.708217,-73.618384,"(40.708217, -73.618384)"
1585,Fort Tryon Center for Rehabilitation and Nursing,Residential Health Care Facility,801 W 190th St,New York,New York,New York,10040,2125436400,40.708419,-73.683483,"(40.708419, -73.683483)"
14978,St. Joseph's Assisted Living,Adult Home,125 Sisters Servants Lane P.O. Box 8,Sloatsburg,Rockland,New York,10974,8457532555,40.708519,-73.785828,"(40.708519, -73.785828)"
696,Sapphire Nursing at Meadow Hill,Residential Health Care Facility,172 Meadow Hill Road,Newburgh,Orange,New York,12550,8455641700,40.709214,-73.831034,"(40.709214, -73.831034)"
191,Sapphire Nursing at Wappingers,Residential Health Care Facility,37 Mesier Avenue,Wappingers Falls,Dutchess,New York,12590,8452973793,40.709332,-73.602242,"(40.709332, -73.602242)"
1106,Sans Souci Rehabilitation and Nursing Center,Residential Health Care Facility,115 Park Avenue,Yonkers,Westchester,New York,10703,9144239800,40.712078,-73.764412,"(40.712078, -73.764412)"
4406,"Hospice Care In Westchester and Putnam, Inc",Hospice,"540 White Plains Road, Suite 300",Tarrytown,Westchester,New York,10591,9146667616,40.712891,-73.987694,"(40.712891, -73.987694)"
1697,"New Glen Oaks Nursing Home, Inc",Residential Health Care Facility,260-01 79th Avenue,Glen Oaks,Queens,New York,11004,7183430770,40.713039,-73.963806,"(40.713039, -73.963806)"
4324,Centers Home Health Care of Otsego,Long Term Home Health Care Program,128 Phoenix Mills Cross Road,Cooperstown,Otsego,New York,13326,6075442667,40.713646,-73.780113,"(40.713646, -73.780113)"
4142,ArchCare at Home,Long Term Home Health Care Program,"115 East Stevens Avenue, Suites 104 and 105",Valhalla,Westchester,New York,10595,9149411710,40.714149,-73.801613,"(40.714149, -73.801613)"
5628,"Visiting Nurse Service and Hospice of Suffolk, Inc.",Certified Home Health Agency,505 Main Street,Northport,Suffolk,New York,11768,6312617200,40.71431,-73.801186,"(40.71431, -73.801186)"
